serial_num,price,alpha
316,18755.71973,0.238064813
317,18978.0518,1.010873111
318,18997.15313,-0.377813517
319,19270.99177,-0.1116608
320,19223.62233,-0.189439242
321,18946.60915,0.680439625
322,19400.55159,-0.980397975
323,19142.64045,0.18788469
324,18622.5599,0.738427792
325,18892.17188,0.565901783
326,19262.25917,-0.585586495
327,19517.66434,-0.767915326
328,19824.19621,-0.125818831
329,19948.74724,-0.20523048
330,20268.06793,0.552439918
331,20134.20285,0.307816598
332,20020.87304,0.412078402
333,20076.37806,-0.771810145
334,19622.44141,0.550890006
335,19687.13151,1.061408216
336,19598.53311,1.091747535
337,19303.6464,-0.698156916
338,19474.57394,0.338313467
339,19700.39645,0.27230771
340,19509.59666,-0.085797155
341,19238.40882,0.426344525
342,19343.32575,-0.179698843
343,19202.85812,-0.088886174
344,19028.61459,-1.023671049
345,19056.03573,0.477402361
346,19143.86126,0.612990213
347,19423.63049,0.599128336
348,19518.67881,-0.013266856
349,19494.9613,-0.296269076
350,19516.31535,-0.135187748
351,19568.63069,-0.243971372
352,19150.10299,-0.149797986
353,18814.49493,-0.272961729
354,18486.39325,-0.585589808
355,18489.09129,-0.537948299
356,18547.31777,-0.147540265
357,18915.61037,0.971274967
358,18738.88231,0.028067587
359,18214.25556,-0.038598881
360,18235.72233,0.312913889
361,18279.89294,-0.551945907
362,18401.24733,0.625951904
363,18403.15614,0.037517469
364,18408.21779,1.156087423
365,18618.69098,-0.132616504
366,18669.04672,1.011731911
367,18859.22868,-1.030826213
368,18331.5247,-0.381410109
369,18231.85107,-0.65282393
370,18262.59594,0.921511215
371,18450.33581,0.587382107
372,18371.00843,0.788985017
373,18658.69533,0.885693689
374,18742.84919,-0.179977505
375,18698.64,-0.34357506
376,18473.86383,-0.339249581
377,18759.66361,-0.460163894
378,18799.68965,0.481928476
379,18613.88324,0.018650809
380,18814.19543,-1.376925017
381,18843.54177,-0.947508259
382,18890.5683,0.844640368
383,19224.56588,0.258091825
384,18953.19162,-0.312093185
385,18557.08172,0.584539367
386,18486.87149,-0.609929127
387,18375.98638,0.443527265
388,18313.03567,0.137874386
389,17968.53433,-0.709695931
390,17981.60612,0.005273844
391,18056.85871,0.215757753
392,18377.97006,-0.000545367
393,18148.78544,-0.295457379
394,18320.9543,0.753653
395,18329.06261,0.11047964
396,18243.34089,0.07550804
397,18093.95566,-0.085706302
398,18053.56811,0.54311412
399,18130.64192,0.302735457
400,18217.06116,0.261583801
401,18400.2039,-0.49811531
402,18491.31849,0.059129661
403,18420.33795,-0.542946701
404,18284.46113,-0.343227362
405,18042.11336,0.830163636
406,18187.25366,-0.049739206
407,18397.74946,0.494358878
408,18177.2245,0.753206721
409,18301.81339,-0.421972407
410,18516.45248,0.011592408
411,18571.2845,-0.100722091
412,18739.4167,0.709350002
413,18739.39322,-0.257741873
414,19059.7017,-0.575639908
415,18743.60713,-0.134246715
416,19279.10785,-0.264937634
417,19371.53537,-0.419642438
418,19305.16874,1.098148112
419,19264.54674,0.380404763
